cd_nom	cd_ref	nom_complet	cd_nom17	comment
210809	210809	Amata Fabricius, 1807		AUCUN INTERET (SAISIE AU GENRE)
51501	237818	Charagochilus gyllenhali 	237818	Charagochilus gyllenhalii (Fallén, 1807) 
307482	307482	Ecdyonurus alpinus Hefti, Tomka & Zurwerra, 1987		PROBLEME CAR PAS EN FRANCE (je vais voir avec détreminateur)
660311	660311	Aspicilia aquatica (Fr.) Körb. [nom cons.]	58440	Aspicilia aquatica Körb.
59627	660184	Buellia epigaea (Hoffm.) Tuck., 1872	660184	Buellia epigaea (Pers.) Tuck.
59359	660132	Caloplaca coronata (Kremp.) Steiner	660132	Caloplaca coronata (Kremp. ex Körb.) J. Steiner, 1919
58777	660062	Candelariella xanthostigma (Pers.) Lettau	660062	Candelariella xanthostigma (Pers. ex Ach.) Lettau, 1912
55527	46137	Chaenotheca phaeocephala (Turn.) Th. Fr.	46137	Chaenotheca phaeocephala (Turner) Th.Fr., 1861
57725	660806	Cladonia squamosa var. subsquamosa (Nyl.) Th. Fr.	660806	Cladonia squamosa var. subsquamosa (Nyl. ex Leight.) Vain., 1881
57234	653231	Clauzadea immersa (Weber) Hafellner & Bellem.	653231	Clauzadea immersa (Hoffm.) Hafellner & Bellem., 1984
653233	653233	Clauzadea monticola (Schaer.) Hafellner & Bellem.	57226	Clauzadea monticola (Ach.) Hafellner & Bellem., 1984
58632	659640	Lecanora intricata (Schrad.) Ach.	659640	Lecanora intricata (Ach.) Ach., 1810
58608	659618	Lecanora polytropa (Ehrht.) Th. Fr.	659618	Lecanora polytropa (Hoffm.) Rabenh.
59887	658458	Physcia caesia (Hoffm.) Hampe	658458	Physcia caesia (Hoffm.) Fürnr., 1839
58016	521466	Sarcogyne privigna (Ach.) Anzi	521466	Sarcogyne privigna (Ach.) A.Massal., 1854
57493	653993	Toninia aromatica (Turn.) A.Massal.	653993	Toninia aromatica (Sm.) A.Massal., 1855
436045	5768	Bryum schleicheri var. latifolium (Schwägr.) Schimp., 1876		PROBLEME CAR PAS EN FRANCE (donnée 1980, pas grave)
130781	611926	Aconitum lycoctonum subsp. vulparia (Rchb. ex Spreng.) Nyman	611926	Aconitum lycoctonum subsp. vulparia (Rchb.) Nyman, 1889
88729	88949	Carex oederi sensu H.J.Coste, 1906 non Retz., 1779	88949	Carex viridula Michx., 1803 
91274	621080	Cirsium acaule Scop., 1769	521682	Cirsium acaule (L.) Scop., 1769
93283	133541	Crocus vernus Sibth. & Sm., 1806	93282	Crocus vernus (L.) Hill, 1765
134199	612619	Erigeron acer subsp. acer L., 1753	612619	Erigeron acris subsp. acris L., 1753
134200	612620	Erigeron acer subsp. angulosus (Gaudin) Vacc., 1909	612620	Erigeron acris subsp. angulosus (Gaudin) Vacc., 1909
129337	97101	Vicia varia (Brot.) Lacaita, 1921		VOIR AVEC ADELE – PAS GRAVE, vieille donnée, dét. Inconnu
718810	718810	Euphorbia dulcis f. incompta 	134362	Euphorbia dulcis subsp. incompta (Ces.) Nyman, 1890
102097	717238	Hieracium juraniforme Zahn, 1905	521685	Hieracium juraniforme (Zahn) Zahn, 1906
717262	717262	Hieracium stauii Belli, 1904		VOIR AVEC ADELE – voir avec CBN / Donnée Tison 2003
106344	106344	Linum suffruticosum L., 1753	161206	Linum suffruticosum auct. non L., 1753
107310	107284	Malva rotundifolia L., 1754	107311	Malva rotundifolia L., 1753
120914	108507	Satureja piperella (All.) Bertol., 1845	108507	Micromeria marginata (Sm.) Chater, 1971
108509	108507	Micromeria piperella (All.) Benth., 1834	108507	Micromeria marginata (Sm.) Chater, 1971
159484	110704	Ophrys saratoi Camus	110704	Ophrys saratoi E.G.Camus, 1893
138551	718744	Papaver alpinum subsp. rhaeticum sensu Kerguélen, 1993 non (Leresche) Nyman, 1878	1019754	Oreomecon alpina (L.) Banfi, Bartolucci, J.-M.Tison & Galasso, 2022 subsp. alpina
112353	718744	Papaver rhaeticum sensu Tutin & al., 1964 non Leresche in Gremli, 1893	1019754	Oreomecon alpina (L.) Banfi, Bartolucci, J.-M.Tison & Galasso, 2022 subsp. alpina
94798	112807	Dianthus prolifer L., 1754	94797	Dianthus prolifer L., 1753
113390	138765	Phyteuma orbiculare L., 1754	113389	Phyteuma orbiculare L., 1753
115695	115498	Potentilla verna sensu L., 1753	115694	Potentilla verna L., 1753 
162642	116426	Pulmonaria affinis sensu 2	116407	Pulmonaria affinis Jord., 1854
116744	116744	Quercus petraea Liebl., 1784	521658	Quercus petraea (Matt.) Liebl., 1784
121356	140710	Scabiosa hyrcanica Steven, 1856		VOIR AVEC ADELE – je ne trouve pas la donnée associée
125493	125493	Taraxacum alpinum (Hoppe) Hegetschw., 1839		VOIR AVEC ADELE – données plus d’un siècle
159832	141545	Senecio aurantiacus sensu DC., 1838 non (Willd.) Less., 1834	122552	Senecio aurantiacus auct. non (Hoppe ex Willd.) Less., 1834
615204	141545	Senecio aurantiacus auct. non (Willd.) Less., 1834	122552	Senecio aurantiacus auct. non (Hoppe ex Willd.) Less., 1834
141735	126555	Thymus serpyllum subsp. glabrescens sensu P.Fourn., 1938		VOIR AVEC ADELE – je ne trouve pas la donnée associée
159898	131859	Asplenium quadrivallens D.E.Mey.		VOIR AVEC ADELE – voir avec CBN / donnée Salanon 2010
772153	122308	Selaginella spinulosa A.Braun ex Döll	122310	Selaginella spinulosa A.Braun, 1843
113709	138840	Pinus uncinata Mill. ex Mirb., 1805	113708	Pinus uncinata Ramond ex DC., 1805
